probe_id,subject_id,session_id,run_id,counterbalance_group,block_id,block_order,video_id,condition_label,probe_index,probe_planned_time_sec,probe_attention,probe_response,probe_response_label,probe_confidence,onset_timestamp,onset_sample,onset_video_time_sec,attention_response_timestamp,attention_response_time_ms,confidence_response_timestamp,confidence_response_time_ms,resume_timestamp,resume_sample,complete
Block 1_1_67899e73,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,1,54.932,AMBIGUOUS,4,放空/不确定刚才在想什么,3,1789549466.8883803,31616,55.003,1789549475.9823802,9097,1789549478.6383803,2660,1789549478.6693802,34547,1
Block 1_2_67899e73,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,2,108.98,ON,1,课程内容,4,1789549532.6383803,48056,109.035,1789549534.6543803,2003,1789549535.7473803,1091,1789549535.7793803,48836,1
Block 1_3_67899e73,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,3,182.527,ON,1,课程内容,4,1789549609.2633803,67210,182.566,1789549611.7943802,2526,1789549613.1543803,1360,1789549613.1693802,68185,1
Block 1_4_67899e73,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,1,1,V2,A,4,259.136,ON,1,课程内容,4,1789549689.7473803,87334,259.166,1789549692.2943802,2529,1789549693.6853802,1390,1789549693.7003803,88315,1
Block 2_1_47d3ceea,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,1,63.038,OFF,2,连续减7心算任务,4,1789549882.4503803,135513,63.206,1789549884.3883803,1934,1789549885.7473803,1348,1789549885.7633803,136324,1
Block 2_2_47d3ceea,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,2,161.228,OFF,2,连续减7心算任务,3,1789549983.9503803,160888,161.434,1789549985.6223803,1654,1789549986.9503803,1324,1789549986.9663801,161633,1
Block 2_3_47d3ceea,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,3,232.89,OFF,2,连续减7心算任务,3,1789550058.4973803,179522,232.998,1789550061.2323802,2714,1789550062.7633803,1539,1789550062.7793803,180587,1
Block 2_4_47d3ceea,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,2,2,V3,B,4,295.64,OFF,2,连续减7心算任务,4,1789550125.5753803,196297,295.803,1789550127.9043803,2335,1789550129.6223803,1712,1789550129.6383803,197303,1
Block 3_1_f4f4d49f,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,1,104.994,ON,1,课程内容,3,1789550389.4353802,262250,105.059,1789550391.9193802,2476,1789550393.6073802,1696,1789550393.6383803,263300,1
Block 3_2_f4f4d49f,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,2,169.262,ON,1,课程内容,3,1789550457.9503803,279381,169.41,1789550462.7003803,4739,1789550464.6853802,1984,1789550464.7003803,281070,1
Block 3_3_f4f4d49f,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,3,217.037,ON,1,课程内容,3,1789550512.5133803,293026,217.248,1789550514.4503803,1922,1789550515.1693802,720,1789550515.1853802,293686,1
Block 3_4_f4f4d49f,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,3,3,V4,A,4,263.671,ON,1,课程内容,3,1789550561.7003803,305324,263.783,1789550564.2003803,2496,1789550565.2163801,1009,1789550565.2323802,306200,1
Block 4_1_94a477f7,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,4,4,V5,B,1,84.548,OFF,2,连续减7心算任务,3,1789550763.3883803,355748,84.757,1789550766.3883803,2964,1789550767.4823802,1122,1789550767.5133803,356769,1
Block 4_2_94a477f7,sub-003,ses-001,47fb270e-4388-428d-9363-08e33f166980,G03,4,4,V5,B,2,138.024,OFF,2,连续减7心算任务,3,1789550820.9193802,370124,138.208,1789550824.1073802,3179,1789550825.4043803,1286,1789550825.4353802,371248,1
