event_name,event_timestamp,sample_time_sec,received_order,block_id,block_order,group_id,session_half,counterbalance_group,condition,condition_type,event_type,event_value,duration_sec,exclude_before_sec,exclude_after_sec,trial_id,question_id,correct_answer,participant_answer,is_correct,reaction_time_ms,notes,run_id,subject_id,session_id,client_event_id,client_id,received_timestamp,client_timestamp,client_monotonic_ms,timestamp_source,clock_offset_sec,clock_round_trip_ms,eeg_received_order,eeg_sample_number,eeg_stream_segment,alignment_error_ms,alignment_status,identity_status,context_matches_current,state_applied,start_number,generated_timestamp,displayed_timestamp,hidden_timestamp,after_block_id,affected_block_id,planned_duration,actual_duration,is_formal_experiment,operator_id,override_reason,sensitivity_exclude_before_sec,course_attention_rating,mental_effort,video_interest,video_difficulty,subtraction_compliance,subtraction_compliance_low_pct,subtraction_compliance_high_pct,subtraction_difficulty,reported_final_number,rating_item,rating_value,quiz_score,quiz_total,question_text,response_index,response_text,video_id,condition_label,video_time_sec,browser_timestamp,recorder_timestamp,device_sample_number,probe_id,probe_index,probe_schedule_id,probe_planned_time_sec,response,response_label,response_time_ms,confidence,probe_attention,pause_reason
session_start,1789890397.5823376,,0,,,,,G07,,,session_start,online_learning_focused_vs_bbbd_subtraction,,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890397.5823376,,,server,,,,,,,no_eeg,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890397.5823376,,,,,,,,,,,
subtraction_practice_start,1789890399.2259872,,0,,,,,G07,,,subtraction_practice_start,100,,0.0,0.0,,,,,,,"{""client_event_id"":""9f0d0059-22c7-41f9-a759-59f91bf07215"",""recorder_run_id"":""8b6ce1f9-62a7-4d97-823b-839e8a8c7711"",""client_id"":""b0a244a8-b5e2-4661-b241-de215ec01f7b"",""client_timestamp"":1789890399.2343998,""client_monotonic_ms"":38754.5,""event_timestamp"":1789890399.2259872,""clock_offset_sec"":-0.008412599563598633,""clock_round_trip_ms"":2.7000904083251953,""subject_id"":""sub-007"",""session_id"":""ses-001"",""block_id"":"""",""counterbalance_group"":""G07"",""block_order"":""Block 1"",""condition"":"""",""condition_type"":"""",""topic_key"":"""",""topic_name"":"""",""event_type"":""subtraction_practice_start"",""iso_time"":""2026-09-20T07:46:39.234Z"",""relative_ms"":"""",""video_time_sec"":0,""practice_number"":100,""is_formal_experiment"":0}",8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,9f0d0059-22c7-41f9-a759-59f91bf07215,b0a244a8-b5e2-4661-b241-de215ec01f7b,1789890399.2233374,1789890399.2343998,38754.5,browser_calibrated,-0.008412599563598633,2.7000904083251953,,,,,no_eeg,verified,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1789890399.2343998,1789890399.2233374,,,,,,,,,,,
qc_status_change,1789890399.7393374,,0,,,,,G07,,,qc_status_change,bad,,0.0,0.0,,,,,,,已连续 3.2 秒没有EEG，请立即重新连接耳机。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890399.7393374,,,server,,,,,,,no_eeg,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890399.7393374,,,,,,,,,,,
subtraction_practice_end,1789890406.3216875,,0,,,,,G07,,,subtraction_practice_end,100,,0.0,0.0,,,,,,,"{""client_event_id"":""f509ab34-d6fd-4ff2-b632-a4262579000e"",""recorder_run_id"":""8b6ce1f9-62a7-4d97-823b-839e8a8c7711"",""client_id"":""b0a244a8-b5e2-4661-b241-de215ec01f7b"",""client_timestamp"":1789890406.3317997,""client_monotonic_ms"":45852,""event_timestamp"":1789890406.3216875,""clock_offset_sec"":-0.010112285614013672,""clock_round_trip_ms"":1.6999244689941406,""subject_id"":""sub-007"",""session_id"":""ses-001"",""block_id"":"""",""counterbalance_group"":""G07"",""block_order"":""Block 1"",""condition"":"""",""condition_type"":"""",""topic_key"":"""",""topic_name"":"""",""event_type"":""subtraction_practice_end"",""iso_time"":""2026-09-20T07:46:46.331Z"",""relative_ms"":"""",""video_time_sec"":0,""practice_number"":100,""is_formal_experiment"":0}",8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,f509ab34-d6fd-4ff2-b632-a4262579000e,b0a244a8-b5e2-4661-b241-de215ec01f7b,1789890406.3323376,1789890406.3317997,45852,browser_calibrated,-0.010112285614013672,1.6999244689941406,,,,,no_eeg,verified,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1789890406.3317997,1789890406.3323376,,,,,,,,,,,
practice_confirmed,1789890406.3254876,,0,,,,,G07,,,practice_confirmed,100,,0.0,0.0,,,,,,,"{""client_event_id"":""1ad32084-d10d-4601-86e3-0356da8c5b2b"",""recorder_run_id"":""8b6ce1f9-62a7-4d97-823b-839e8a8c7711"",""client_id"":""b0a244a8-b5e2-4661-b241-de215ec01f7b"",""client_timestamp"":1789890406.3356,""client_monotonic_ms"":45855.69999998808,""event_timestamp"":1789890406.3254876,""clock_offset_sec"":-0.010112285614013672,""clock_round_trip_ms"":1.6999244689941406,""subject_id"":""sub-007"",""session_id"":""ses-001"",""block_id"":"""",""counterbalance_group"":""G07"",""block_order"":""Block 1"",""condition"":"""",""condition_type"":"""",""topic_key"":"""",""topic_name"":"""",""event_type"":""practice_confirmed"",""iso_time"":""2026-09-20T07:46:46.335Z"",""relative_ms"":"""",""video_time_sec"":0,""practice_number"":100,""is_formal_experiment"":0}",8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,1ad32084-d10d-4601-86e3-0356da8c5b2b,b0a244a8-b5e2-4661-b241-de215ec01f7b,1789890406.3483374,1789890406.3356,45855.69999998808,browser_calibrated,-0.010112285614013672,1.6999244689941406,,,,,no_eeg,verified,1,1,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,1789890406.3356,1789890406.3483374,,,,,,,,,,,
device_connected,1789890531.5363376,,0,,,,,G07,,,device_connected,74:4D:BD:62:FD:8D,,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890531.5363376,,,server,,,,,,,no_eeg,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890531.5363376,,,,,,,,,,,
qc_status_change,1789890544.2393374,0.864,217,,,,,G07,,,qc_status_change,waiting,,0.0,0.0,,,,,,,等待至少2秒EEG数据。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890544.2393374,,,server,,,216,216,0,0.0,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890544.2393374,216,,,,,,,,,,
qc_status_change,1789890546.2543375,2.844,712,,,,,G07,,,qc_status_change,good,,0.0,0.0,,,,,,,当前QC指标正常。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890546.2543375,,,server,,,711,711,0,-31.000137329101562,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890546.2543375,711,,,,,,,,,,
qc_baseline_start,1789890548.3013375,4.904,1227,,,,,G07,,,qc_baseline_start,,30.0,0.0,0.0,,,,,,,,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890548.3013375,,,server,,,1226,1226,0,-14.999866485595703,host_receive_nearest,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890548.3013375,1226,,,,,,,,,,
qc_status_change,1789890562.3323376,,3857,,,,,G07,,,qc_status_change,bad,,0.0,0.0,,,,,,,已连续 2.7 秒没有EEG，请立即重新连接耳机。,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,sub-007,ses-001,,,1789890562.3323376,,,server,,,,,,-2718.0001735687256,outside_sample_tolerance,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1789890562.3323376,,,,,,,,,,,
