probe_id,subject_id,session_id,run_id,block_id,block_order,sequence_order,video_id,condition_label,condition_type,probe_attention,probe_response,probe_response_label,probe_confidence,probe_onset_sample,probe_onset_timestamp,probe_onset_video_time_sec,epoch_duration_sec,start_sample,end_sample,start_timestamp,end_timestamp,sample_count,status,reject_reason,window_count
Block 1_1_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,1,1,G07,V4,A,focused,ON,1,课程内容,3,51065,1789890781.1143374,46.22,10.0,48565,51064,1789890771.0983374,1789890781.0983374,2500,valid,,4
Block 1_2_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,1,1,G07,V4,A,focused,ON,1,课程内容,3,67195,1789890883.1293375,101.1,10.0,64695,67194,,,2500,rejected,incomplete_eeg,0
Block 1_3_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,1,1,G07,V4,A,focused,ON,1,课程内容,3,98960,1789891050.5673375,213.981,10.0,96460,98959,1789891040.5513377,1789891050.5513377,2500,valid,,4
Block 1_4_07ae8716,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,1,1,G07,V4,A,focused,ON,1,课程内容,3,117523,1789891124.9113376,283.896,10.0,115023,117522,1789891114.8013377,1789891124.8953376,2500,valid,,4
Block 2_1_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,2,2,G07,V5,B,bbbd_subtraction,OFF,2,连续减7心算任务,3,167948,1789891345.8643374,74.289,10.0,165448,167947,1789891335.8483374,1789891345.8323376,2500,valid,,4
Block 2_2_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,2,2,G07,V5,B,bbbd_subtraction,OFF,2,连续减7心算任务,3,184662,1789891412.9733374,137.313,10.0,182162,184661,,,2500,rejected,incomplete_eeg,0
Block 2_3_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,2,2,G07,V5,B,bbbd_subtraction,OFF,2,连续减7心算任务,3,197896,1789891465.6453376,185.981,10.0,195396,197895,1789891455.6293375,1789891465.6293375,2500,valid,,4
Block 2_4_015fbc21,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,2,2,G07,V5,B,bbbd_subtraction,OFF,2,连续减7心算任务,3,226131,1789891578.5823376,295.118,10.0,223631,226130,1789891568.5363376,1789891578.5823376,2500,valid,,4
Block 3_1_653adb72,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,3,3,G07,V6,A,focused,ON,1,课程内容,3,295374,1789891899.8013375,66.167,10.0,292874,295373,1789891889.8323376,1789891899.8013377,2500,valid,,4
Block 3_2_653adb72,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,3,3,G07,V6,A,focused,ON,1,课程内容,3,313273,1789891979.7863376,132.804,10.0,310773,313272,1789891969.8013377,1789891979.7703376,2500,valid,,4
