window_id,probe_id,window_kind,window_index,subject_id,session_id,run_id,video_id,block_id,block_order,sequence_order,condition_label,condition_type,probe_attention,probe_response,probe_confidence,seconds_to_probe,mental_effort,course_attention_rating,video_interest,video_difficulty,start_number,reported_final_number,subtraction_compliance,self_caught_nearby,dataset_membership,training_eligible,start_sample,end_sample,start_timestamp,end_timestamp,sample_count,quality_label,reject_reason,qc_status
Block 1_1_07ae8716#w1,Block 1_1_07ae8716,probe_epoch,1,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,6.0,4,4,3,2,,,,0,Dataset B,1,48565,49564,1789890771.0983374,1789890775.1143374,1000,GOOD,,good
Block 1_1_07ae8716#w2,Block 1_1_07ae8716,probe_epoch,2,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,4.0,4,4,3,2,,,,0,Dataset B,1,49065,50064,1789890773.0983374,1789890777.0823376,1000,GOOD,,good
Block 1_1_07ae8716#w3,Block 1_1_07ae8716,probe_epoch,3,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,2.0,4,4,3,2,,,,0,Dataset B,1,49565,50564,1789890775.1143374,1789890779.1293375,1000,GOOD,,good
Block 1_1_07ae8716#w4,Block 1_1_07ae8716,probe_epoch,4,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,0.0,4,4,3,2,,,,0,Dataset B,1,50065,51064,1789890777.0823376,1789890781.0983374,1000,GOOD,,good
Block 1_3_07ae8716#w1,Block 1_3_07ae8716,probe_epoch,1,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,6.0,4,4,3,2,,,,0,Dataset B,1,96460,97459,1789891040.5513377,1789891044.5363376,1000,GOOD,,good
Block 1_3_07ae8716#w2,Block 1_3_07ae8716,probe_epoch,2,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,4.0,4,4,3,2,,,,0,Dataset B,1,96960,97959,1789891042.5823376,1789891046.5203376,1000,GOOD,,good
Block 1_3_07ae8716#w3,Block 1_3_07ae8716,probe_epoch,3,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,2.0,4,4,3,2,,,,0,Dataset B,1,97460,98459,1789891044.5513377,1789891048.5363376,1000,GOOD,,good
Block 1_3_07ae8716#w4,Block 1_3_07ae8716,probe_epoch,4,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,0.0,4,4,3,2,,,,0,Dataset B,1,97960,98959,1789891046.5363376,1789891050.5513377,1000,GOOD,,good
Block 1_4_07ae8716#w1,Block 1_4_07ae8716,probe_epoch,1,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,6.0,4,4,3,2,,,,0,Dataset B,1,115023,116022,1789891114.8013377,1789891118.7863376,1000,GOOD,,good
Block 1_4_07ae8716#w2,Block 1_4_07ae8716,probe_epoch,2,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,4.0,4,4,3,2,,,,0,Dataset B,1,115523,116522,1789891116.7863376,1789891120.7863376,1000,GOOD,,good
Block 1_4_07ae8716#w3,Block 1_4_07ae8716,probe_epoch,3,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,2.0,4,4,3,2,,,,0,Dataset B,1,116023,117022,1789891118.7863376,1789891122.7863376,1000,GOOD,,good
Block 1_4_07ae8716#w4,Block 1_4_07ae8716,probe_epoch,4,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V4,1,1,G07,A,focused,ON,1,3,0.0,4,4,3,2,,,,0,Dataset B,1,116523,117522,1789891120.7863376,1789891124.8953376,1000,GOOD,,good
Block 2_1_015fbc21#w1,Block 2_1_015fbc21,probe_epoch,1,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,6.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,165448,166447,1789891335.8483374,1789891339.8323376,1000,GOOD,,good
Block 2_1_015fbc21#w2,Block 2_1_015fbc21,probe_epoch,2,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,4.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,165948,166947,1789891337.8483374,1789891341.8173375,1000,GOOD,,good
Block 2_1_015fbc21#w3,Block 2_1_015fbc21,probe_epoch,3,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,2.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,166448,167447,1789891339.8323376,1789891343.8323376,1000,GOOD,,good
Block 2_1_015fbc21#w4,Block 2_1_015fbc21,probe_epoch,4,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,0.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,166948,167947,1789891341.8323376,1789891345.8323376,1000,GOOD,,good
Block 2_3_015fbc21#w1,Block 2_3_015fbc21,probe_epoch,1,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,6.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,195396,196395,1789891455.6293375,1789891459.6143374,1000,GOOD,,good
Block 2_3_015fbc21#w2,Block 2_3_015fbc21,probe_epoch,2,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,4.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,195896,196895,1789891457.6143374,1789891461.6143374,1000,GOOD,,good
Block 2_3_015fbc21#w3,Block 2_3_015fbc21,probe_epoch,3,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,2.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,196396,197395,1789891459.6143374,1789891463.7543375,1000,GOOD,,good
Block 2_3_015fbc21#w4,Block 2_3_015fbc21,probe_epoch,4,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,0.0,7,4,3,3,977,390,80-90%,0,Dataset B,1,196896,197895,1789891461.6143374,1789891465.6293375,1000,GOOD,,good
Block 2_4_015fbc21#w1,Block 2_4_015fbc21,probe_epoch,1,sub-007,ses-001,8b6ce1f9-62a7-4d97-823b-839e8a8c7711,V5,2,2,G07,B,bbbd_subtraction,OFF,2,3,6.0,7,4,3,3,977,390,80-90%,0,Dataset B,0,223631,224630,1789891568.5363376,1789891572.5513377,1000,REJECT,missing;qc_reject,bad
